Assembly	DTU_2021_1010100_1_MG_Nuuk_ID116_S2_StV23B_5_10_out2_assembly	DTU_2021_1010012_1_MG_Nar_ID18_SFB_P5_5_10_assembly	DTU_2021_1010067_1_MG_Nuuk_ID81_S1_StV23C_5_10_out2_assembly	DTU_2021_1010184_1_MG_Nuuk_ID207_S4_StV26A_0_5_inf3_assembly	DTU_2021_1010216_1_MG_Ser_ID454_0_Cli1_assembly	DTU_2021_1010143_1_MG_Nuuk_ID161_S3_StV24A_51_5955_mid12_assembly	DTU_2021_1010148_1_MG_Nuuk_ID166_S3_StV24A_63_7165_mid17_assembly	DTU_2021_1010197_1_MG_Nuuk_ID220_S4_StV26A_5_10_inf16_assembly	DTU_2021_1010173_1_MG_Nuuk_ID191_S5_StNuuk_70_mid21_assembly	DTU_2021_1010144_1_MG_Nuuk_ID162_S3_StV24A_59_6360_mid13_assembly	DTU_2021_1010219_1_MG_Ser_ID457_0_Cli4_assembly	DTU_2021_1010001_1_MG_Nar_ID2_SFA_P1_5_10_assembly	DTU_2021_1010095_1_MG_Nuuk_ID111_S2_StV23B_5_10_inf8_assembly	DTU_2021_1010135_1_MG_Nuuk_ID153_S3_StV24A_19_4130_mid4_assembly	DTU_2021_1010063_1_MG_Nuuk_ID77_S1_StV23C_0_5_inf9_assembly	DTU_2021_1010209_1_MG_Ser_ID446_0_5_Sed1_assembly	DTU_2021_1010119_1_MG_Nuuk_ID137_S3_StV24A_0_5_inf9_assembly	DTU_2021_1010073_1_MG_Nuuk_ID87_S1_StV23C_5_10_out8_assembly
# contigs (>= 0 bp)	163	747	373	487	1284	3698	2822	6296	1740	12434	2317	211	362	1869	203	6744	1374	547
# contigs (>= 1000 bp)	163	743	370	486	1269	3674	2785	6273	1731	12272	2300	211	361	1863	202	6605	1371	543
# contigs (>= 5000 bp)	102	541	281	302	1103	3133	2250	3760	1430	9759	1799	124	222	1724	129	4923	920	365
# contigs (>= 10000 bp)	69	347	190	166	860	2462	1739	2065	1080	6917	1246	50	135	1443	69	3370	538	248
# contigs (>= 25000 bp)	20	159	101	54	457	1241	873	587	553	2827	552	9	55	802	10	1529	172	92
# contigs (>= 50000 bp)	3	74	41	9	261	573	407	212	257	1060	235	1	29	351	0	664	69	19
Total length (>= 0 bp)	2065101	24815331	8012872	5269404	75114777	131101357	100529015	84058657	56937349	304327884	67271576	1780657	14263381	72136048	1829258	184424010	21181741	7773747
Total length (>= 1000 bp)	2065101	24812417	8010527	5268473	75103428	131084785	100502958	84040853	56930110	304212541	67259865	1780657	14262782	72131385	1828565	184325428	21179319	7771079
Total length (>= 5000 bp)	1863278	24163490	7729301	4677904	74543366	129383210	98898241	76095989	56020706	296367006	65695066	1516571	13839269	71644872	1609829	179144205	19713913	7205186
Total length (>= 10000 bp)	1608193	22774063	7056737	3700818	72712517	124371861	95171951	63940131	53445966	275362447	61685560	982095	13199952	69528594	1186775	167768437	16957326	6379741
Total length (>= 25000 bp)	878231	19852968	5683869	2018017	66168181	104508270	80925797	41478581	44894725	210722993	50624246	317081	11956282	59178719	331485	138890199	11366889	3837627
Total length (>= 50000 bp)	282836	16828557	3589254	577699	59318019	81292663	64553161	28678678	34595050	148951291	39352221	54578	11053452	43199320	0	108312221	7924815	1212817
# contigs	163	743	370	486	1269	3674	2785	6273	1731	12272	2300	211	361	1863	202	6605	1371	543
Largest contig	114567	3730482	219186	87172	4528943	2982123	6603754	4288982	2980482	4194175	3655658	54578	5366134	1263573	41502	4651761	405126	92623
Total length	2065101	24812417	8010527	5268473	75103428	131084785	100502958	84040853	56930110	304212541	67259865	1780657	14262782	72131385	1828565	184325428	21179319	7771079
GC (%)	58.37	60.01	55.01	61.11	60.41	63.55	63.78	56.43	60.77	64.55	57.64	57.84	50.51	65.48	60.18	56.49	60.10	62.62
N50	20980	186403	46353	16893	249667	78849	87077	24496	71761	48265	70781	11617	446743	64574	12867	73728	28314	24570
N75	10624	34778	19147	8235	64097	30138	31744	10385	29461	19917	25285	6784	58923	32250	7464	25387	11913	13256
L50	27	21	50	86	58	319	186	609	154	1125	139	42	4	227	46	398	144	94
L75	64	118	116	194	209	1016	677	1976	473	3609	545	94	23	624	91	1504	440	202
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
